names,previous,current
alfalfa,15.66,12.99
almond,2.6500000000000004,9.24
apples,17.200000000000003,18.17
artichoke,10.92,9.24
arugula,15.18,12.31
asparagus,4.83,6.2
avocado,3.719999999999999,8.79
bacon,21.150000000000002,18.21
bagels,14.54,13.7
barley,16.369999999999997,16.58
beans,10.47,15.46
beef,18.67,17.62
beer,3.3100000000000005,11.75
biscuits,17.38,17.5
bread,13.08,12.49
broccoli,12.599999999999998,16.15
buritto,11.6,15.84
butter,14.24,14.85
cabbage,15.89,16.82
cake,22.909999999999997,20.65
carrots,18.080000000000002,18.3
celery,20.86,11.68
mushrooms,15.350000000000001,19.53
cereal,8.16,11.65
cheese,10.27,14.48
chicken,20.259999999999998,19.47
chips,11.08,9.35
chocolate,16.66,16.91
clams,16.97,16.04
coffee,11.45,14.5
cookies,27.28,19.61
corn,9.7,17.99
crab,16.45,16.14
crackers,25.87,24.19
curry,12.380000000000003,18.35
donuts,15.47,10.31
duck,7.9,13.49
dumplings,5.029999999999999,7.34
eggs,14.950000000000001,10.55
enchilada,11.11,17.82
falafel,9.259999999999998,16.88
fish,12.370000000000001,16.84
flour,15.629999999999999,20.79
garlic,14.68,21.34
goose,5.57,12.98
granola,13.85,15.84
grapes,3.3200000000000003,11.68
ham,5.180000000000001,10.48
honey,5.88,12.08
icecream,11.51,13.29
jam,18.16,18.45
juice,15.35,13.74
kale,21.77,15.4
ketchup,11.36,15.9
kiwi,22.86,19.35
lamb,5.619999999999999,10.61
lasagna,12.849999999999998,17.49
lobster,8.969999999999999,8.37
meatballs,22.79,20.88
milk,19.71,11.84
noodles,12.49,11.1
oil,6.71,12
pancakes,4.88,10.49
peanuts,7.4,7.08
pickles,3.3099999999999996,9.09
pizza,14.24,13.88
potatoes,9.58,8.86
spaghetti,18.6,19.14
spinach,10.6,6.59
sugar,10.84,11.4
tea,16.26,16.37
tortillas,14.72,17.73
tuna,6.440000000000001,15.31
venison,12.04,12.61
vodka,5.4,9.15
walnuts,11.31,14.48
water,19.86,15.41
wine,8.4,5.86
yoghurt,15.58,15.24
zucchini,13.34,18.91
